,Ticker
0,AAPL
1,MSFT
2,NVDA
3,GOOGL
4,AMZN
5,META
6,BRK-B
7,AVGO
8,TSM
9,TSLA
10,WMT
11,LLY
12,V
13,JPM
14,UNH
15,SPY
16,MA
17,XOM
18,COST
19,NFLX
20,PG
21,JNJ
22,ORCL
23,HD
24,KO
25,SAP
26,ABBV
27,TMUS
28,BAC
29,NVO
30,BABA
31,PM
32,ASML
33,CRM
34,CVX
35,TM
36,ABT
37,CSCO
38,MCD
39,IBM
40,NVS
41,LIN
42,PLTR
43,AZN
44,WFC
45,T
46,GE
47,PEP
48,MRK
49,SHEL
50,VZ
51,HSBC
52,FMX
53,ACN
54,AXP
55,HDB
56,QQQ
57,RTX
58,MS
59,ISRG
60,NOW
61,TMO
62,IDEXY
63,INTU
64,RY
65,PGR
66,BX
67,GS
68,UL
69,AMGN
70,UBER
71,DIS
72,BKNG
73,QCOM
74,ADBE
75,SPGI
76,TJX
77,BSX
78,AMD
79,SONY
80,CAT
81,SCHW
82,NEE
83,DHR
84,BLK
85,MUFG
86,SYK
87,GILD
88,TXN
89,UNP
90,TTE
91,SNY
92,PDD
93,CMCSA
94,VRTX
95,BUD
96,PFE
97,HON
98,EADSY
99,DE
100,ADP
101,LOW
102,FI
103,BA
104,C
105,BHP
106,CB
107,RTNTF
108,MMC
109,SPOT
110,IBN
111,AIQUY
112,LMT
113,PANW
114,AMAT
115,COP
116,SHOP
117,MDT
118,TD
119,ETN
120,ARM
121,MELI
122,HTHIY
123,AMT
124,SAN
125,BMY
126,SO
127,ELV
128,ENB
129,CFRUY
130,MO
131,WELL
132,CME
133,RELX
134,DUK
135,CRWD
136,KKR
137,PLD
138,WM
139,RIO
140,BTI
141,SBUX
142,ICE
143,CI
144,ANET
145,GEV
146,UBS
147,MCK
148,CVS
149,MDLZ
150,ADI
151,AJG
152,SMFG
153,KLAC
154,SHW
155,CTAS
156,INTC
157,LRCX
158,MSTR
159,HCA
160,TRI
161,AON
162,GLD
163,UPS
164,NKE
165,ORLY
166,BAM
167,NOC
168,APH
169,BBVA
170,APP
171,RACE
172,RSG
173,MU
174,CL
175,MCO
176,EQIX
177,TDG
178,DASH
179,GD
180,TT
181,FTNT
182,BN
183,PBR
184,BP
185,GSK
186,WMB
187,PH
188,APO
189,KDDIY
190,MSI
191,MMM
192,CDNS
193,NGG
194,ABNB
195,INFY
196,SCCO
197,BAESY
198,CP
199,SE
200,BMO
201,ITW
202,EPD
203,ECL
204,IBKR
205,ZTS
206,CMG
207,EQNR
208,CEG
209,SNPS
210,NEM
211,CNI
212,AEM
213,DEO
214,NTES
215,IAU
216,COF
217,WDAY
218,MAR
219,KMI
220,REGN
221,AZO
222,EOG
223,PNC
224,ROP
225,PYPL
226,CNQ
227,AFL
228,USB
229,BNS
230,MFG
231,ET
232,APD
233,TRV
234,BDX
235,DELL
236,CPRT
237,CRH
238,AEP
239,MNST
240,ING
241,LYG
242,ITUB
243,SPG
244,ADSK
245,EMR
246,COR
247,CAIXY
248,CM
249,MBGYY
250,BK
251,JD
252,PTCAY
253,TEAM
254,OKE
255,SHECY
256,PAYX
257,BCS
258,CSX
259,MPLX
260,ALL
261,NU
262,O
263,CARR
